"קטגוריית על","קטגוריה מפורטת"
"אמינה","אמינה כי לא נתפסת כנקמנית, אין חשש להאשמת שווא או העללה על הנאשם"
"אמינה","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה"
"אמינה בזכות","אמינה בגלל חיזוק חיצוני"
"אמינה בזכות","אמינה בגלל שהנאשם לא אמין"
"אמינה אבל","אמינה למרות שיש בעיות (למשל, עדות יחידה ובכל זאת מספקת) – יש פגמים אבל ההכרעה היא לטובת הנפגעת"
"אמינה אבל","עדות עם בעיות (למשל מעוררת תמיהות וספקות, או עדות יחידה לא מספקת) – יש פגמים ולכן ההכרעה היא כנגד הנפגעת"
"לא אמינה","לא אמינה כי לא עקבית, הציגה סתירות"
"לא אמינה","לא אמינה כי נתפסת כנקמנית, חשש להעללה או האשמת שווא"
"לא רלוונטי","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל"
